"Country","Rank Overall","Overall Score","Electoral process and pluralism","Functioning of government","Political participation", "Political culture","Civil liberties"
Norway,1,9.80,10.00,9.64,10.00,9.38,10.00
Iceland,2,9.65,10.00,9.64,8.89,10.00,9.71
Denmark,3,9.52,10.00,9.64,8.89,9.38,9.71
Sweden,4,9.50,9.58,9.64,8.89,9.38,10.00
New Zealand,5,9.26,10.00,9.29,8.89,8.13,10.00
Australia,6,9.22,10.00,8.93,7.78,9.38,10.00
Switzerland,7,9.09,9.58,9.29,7.78,9.38,9.41
Canada,8,9.08,9.58,9.29,7.78,8.75,10.00
Finland,9,9.06,10.00,9.64,7.22,8.75,9.71
Netherlands,10,8.99,9.58,8.93,8.89,8.13,9.41
Luxembourg,11,8.88,10.00,9.29,6.67,8.75,9.71
Ireland,12,8.56,9.58,7.86,7.22,8.13,10.00
Austria,13,8.49,9.58,7.86,7.78,8.13,9.12
Germany,14,8.34,9.58,8.21,6.67,8.13,9.12
Malta,15,8.28,9.17,8.21,5.56,8.75,9.71
Czech Republic,16,8.19,9.58,7.14,6.67,8.13,9.41
Uruguay,17,8.17,10.00,8.93,4.44,7.50,10.00
United Kingdom,18,8.16,9.58,7.86,6.11,8.13,9.12
United States,19,8.11,9.17,7.50,7.22,8.13,8.53
Costa Rica,20,8.10,9.58,8.21,6.11,6.88,9.71
Japan,21,8.08,9.17,8.21,6.11,7.50,9.41
South Korea,22,8.06,9.17,7.86,7.22,7.50,8.53
Belgium,23,8.05,9.58,8.21,5.56,7.50,9.41
Mauritius,24,8.04,9.17,8.21,5.00,8.13,9.71
Spain,25,8.02,9.58,7.50,6.11,7.50,9.41
Cape Verde,26,7.92,9.17,7.86,7.22,6.25,9.12
Portugal,27,7.81,9.58,6.43,6.11,7.50,9.41
South Africa,28,7.79,8.75,8.21,7.22,6.25,8.53
France,29,7.77,9.58,7.14,6.11,7.50,8.53
Slovenia,30,7.76,9.58,7.50,6.67,6.25,8.82
Italy,31,7.74,9.58,6.43,6.67,7.50,8.53
Greece,32,7.65,9.58,5.71,6.67,6.88,9.41
Botswana,33,7.63,9.17,7.14,5.56,6.88,9.41
Estonia,34,7.61,9.58,7.14,5.00,7.50,8.82
Chile,35,7.54,9.58,8.57,3.89,6.25,9.41
Israel,36,7.53,8.75,7.50,8.33,7.50,5.59
Taiwan,37,7.46,9.58,7.14,5.56,5.63,9.41
Slovakia,38,7.35,9.58,7.50,5.56,5.00,9.12
India,39,7.30,9.58,7.50,5.00,5.00,9.41
Cyprus,40,7.29,9.17,6.43,6.11,5.63,9.12
Lithuania,41,7.24,9.58,5.71,5.56,6.25,9.12
Timor-Leste,42,7.22,8.67,6.79,5.56,6.88,8.24
Trinidad and Tobago,43,7.16,9.58,7.14,6.11,5.00,7.94
Jamaica,44,7.13,9.17,6.43,5.00,6.25,8.82
Poland,45,7.12,9.58,6.43,6.11,4.38,9.12
Brazil,=45,7.12,9.58,7.50,5.00,4.38,9.12
Panama,47,7.08,9.58,6.43,5.56,5.00,8.82
Latvia,48,7.05,9.58,5.36,5.56,5.63,9.12
Hungary,49,7.04,9.58,6.07,4.44,6.88,8.24
Mexico,50,6.93,8.75,7.14,6.11,5.00,7.65
Argentina,51,6.84,8.75,5.71,5.56,6.25,7.94
Bulgaria,52,6.78,9.17,5.71,6.11,4.38,8.53
Croatia,53,6.73,9.17,5.71,5.56,5.00,8.24
Suriname,54,6.65,9.17,6.43,4.44,5.00,8.24
Colombia,55,6.63,9.17,7.50,3.89,3.75,8.82
Peru,56,6.59,9.17,5.00,5.56,5.00,8.24
Sri Lanka,57,6.58,7.00,6.07,5.00,6.88,7.94
Thailand,58,6.55,7.83,6.07,5.56,6.25,7.06
Romania,59,6.54,9.58,6.07,4.44,4.38,8.24
Indonesia,60,6.53,6.92,7.50,5.56,5.63,7.06
El Salvador,61,6.47,9.17,6.07,3.89,5.00,8.24
Paraguay,62,6.40,8.33,6.07,5.00,4.38,8.24
Mali,63,6.36,8.25,6.43,4.44,5.63,7.06
Serbia,64,6.33,9.17,4.64,6.11,4.38,7.35
Lesotho,=64,6.33,7.42,5.71,6.11,5.63,6.76
Moldova,=64,6.33,8.75,5.00,5.56,4.38,7.94
Papua New Guinea,67,6.32,7.33,6.43,3.33,6.25,8.24
Namibia,68,6.24,5.67,5.00,6.67,5.63,8.24
Mongolia,69,6.23,8.33,5.71,3.89,5.00,8.24
Dominican Republic,70,6.20,8.75,5.00,2.78,6.25,8.24
Malaysia,71,6.19,6.50,6.79,5.56,6.25,5.88
Zambia,=71,6.19,7.92,5.00,4.44,6.25,7.35
Macedonia,73,6.16,7.75,4.64,6.11,4.38,7.94
Montenegro,74,6.15,8.75,5.00,5.56,4.38,7.06
Philippines,75,6.12,8.33,5.00,5.00,3.13,9.12
Benin,76,6.06,7.33,6.43,4.44,5.63,6.47
Guyana,77,6.05,7.92,5.36,5.56,4.38,7.06
Ghana,78,6.02,8.33,5.00,5.00,5.00,6.76
Ukraine,79,5.94,8.33,4.64,5.00,4.38,7.35
Hong Kong,80,5.92,3.50,5.36,4.44,6.88,9.41
Singapore,81,5.89,4.33,7.50,2.78,7.50,7.35
Guatemala,82,5.88,7.92,6.43,3.33,4.38,7.35
Bangladesh,83,5.86,7.42,5.43,5.00,4.38,7.06
Bolivia,84,5.84,7.00,5.00,6.11,3.75,7.35
Honduras,=84,5.84,8.75,5.71,3.89,4.38,6.47
Malawi,=84,5.84,7.00,5.71,5.56,5.63,5.29
Albania,87,5.81,7.00,4.71,5.00,5.00,7.35
Turkey,88,5.73,7.92,7.14,3.89,5.00,4.71
Ecuador,89,5.72,7.83,4.64,5.00,3.75,7.35
Tanzania,90,5.64,7.42,4.29,5.56,5.63,5.29
Nicaragua,91,5.56,6.58,4.36,3.89,5.63,7.35
Tunisia,92,5.53,5.33,5.00,6.67,6.25,4.41
Senegal,93,5.51,7.00,4.29,4.44,5.63,6.18
Lebanon,94,5.32,6.67,2.14,7.22,5.00,5.59
Bosnia and Hercegovina,95,5.24,6.92,3.29,3.33,5.00,7.65
Uganda,96,5.13,5.67,2.86,5.00,6.25,5.88
Venezuela,97,5.08,5.67,3.93,5.56,4.38,5.88
Liberia,98,5.07,7.83,0.79,5.56,5.00,6.18
Palestine,99,4.97,6.00,2.86,7.78,4.38,3.82
Mozambique,100,4.90,4.83,4.64,5.56,5.63,3.82
Cambodia,101,4.87,6.08,6.07,2.78,5.00,4.41
Georgia,102,4.74,6.58,2.14,4.44,4.38,6.18
Kenya,103,4.71,3.92,4.29,4.44,5.63,5.29
Bhutan,104,4.57,6.25,5.36,3.33,4.38,3.53
Pakistan,105,4.55,5.17,5.71,2.22,4.38,5.29
Sierra Leone,106,4.51,7.00,1.86,2.78,5.63,5.29
Kyrgyz Republic,107,4.34,5.75,1.86,4.44,4.38,5.29
Nepal,108,4.24,1.83,4.29,3.89,5.63,5.59
Mauritania,109,4.17,3.42,4.29,5.00,3.13,5.00
Niger,110,4.16,7.50,1.14,2.78,4.38,5.00
Armenia,111,4.09,4.33,3.21,3.89,3.13,5.88
Iraq,112,4.03,4.33,0.43,7.22,3.75,4.41
Burundi,113,4.01,3.42,3.29,3.89,5.63,3.82
Haiti,114,4.00,5.17,1.86,2.78,3.75,6.47
Egypt,115,3.95,2.08,3.21,5.00,5.63,3.82
Madagascar,116,3.93,2.17,2.14,5.00,5.63,4.71
Russia,117,3.92,3.92,2.86,5.00,3.13,4.71
Jordan,118,3.89,3.17,4.29,4.44,3.75,3.82
Nigeria,119,3.83,5.67,3.21,3.33,3.13,3.82
Morocco,=119,3.83,3.50,4.64,2.22,4.38,4.41
Ethiopia,121,3.79,0.00,3.93,5.00,5.63,4.41
Kuwait,122,3.74,3.17,4.29,3.33,4.38,3.53
Fiji,123,3.67,0.42,2.86,3.89,5.00,6.18
Burkina Faso,124,3.59,4.00,3.57,2.22,3.75,4.41
Libya,125,3.55,0.00,2.86,3.33,6.25,5.29
Cuba,126,3.52,1.75,4.64,3.89,4.38,2.94
Comoros,=126,3.52,3.92,2.21,3.89,3.75,3.82
Gabon,128,3.48,2.17,2.21,3.89,5.00,4.12
Togo,129,3.45,4.00,0.79,3.33,5.00,4.12
Algeria,130,3.44,2.17,2.21,2.78,5.63,4.41
Cameroon,131,3.41,1.17,4.29,2.78,5.00,3.82
Gambia,132,3.38,2.17,4.29,2.22,5.00,3.24
Angola,133,3.32,1.33,3.21,4.44,4.38,3.24
Oman,134,3.26,0.00,3.93,3.89,4.38,4.12
Swaziland,=134,3.26,0.92,2.86,2.78,5.63,4.12
Rwanda,136,3.25,0.83,4.64,1.67,5.00,4.12
Kazakhstan,137,3.24,1.33,2.14,3.33,4.38,5.00
Qatar,138,3.18,0.00,3.93,2.22,5.63,4.12
Belarus,139,3.16,1.75,2.86,3.89,4.38,2.94
Azerbaijan,140,3.15,2.17,1.79,3.33,3.75,4.71
China,141,3.14,0.00,5.00,3.89,5.63,1.18
Côte d’Ivoire,142,3.08,0.00,1.79,4.44,5.63,3.53
Vietnam,143,2.96,0.00,4.29,2.78,6.25,1.47
Bahrain,144,2.92,1.75,2.50,3.33,4.38,2.65
Congo (Brazzaville),145,2.89,1.25,2.86,3.33,3.75,3.24
Guinea,146,2.79,3.50,0.43,3.33,3.75,2.94
Zimbabwe,147,2.68,0.00,1.29,3.89,5.00,3.24
Djibouti,=147,2.68,0.83,1.79,2.22,5.63,2.94
United Arab Emirates,149,2.58,0.00,3.57,1.11,5.00,3.24
Yemen,150,2.57,2.17,0.36,4.44,5.00,0.88
Tajikistan,151,2.51,1.83,0.79,2.22,6.25,1.47
Afghanistan,152,2.48,2.50,0.79,2.78,2.50,3.82
Sudan,153,2.38,0.00,1.79,3.33,5.00,1.76
Eritrea,154,2.34,0.00,2.86,1.11,6.25,1.47
Democratic Republic of Congo,155,2.15,2.58,1.07,2.22,3.13,1.76
Laos,156,2.10,0.00,3.21,1.11,5.00,1.18
Guinea-Bissau,157,1.99,2.08,0.00,2.78,1.88,3.24
Syria,=157,1.99,0.00,1.79,2.22,5.63,0.29
Iran,159,1.98,0.00,2.86,2.78,2.50,1.76
Central African Republic,160,1.82,1.75,1.07,1.11,2.50,2.65
Saudi Arabia,161,1.77,0.00,2.86,1.11,3.13,1.76
Equatorial Guinea,=161,1.77,0.00,0.79,2.22,4.38,1.47
Myanmar,=161,1.77,0.00,1.79,0.56,5.63,0.88
Uzbekistan,164,1.74,0.08,0.79,2.22,5.00,0.59
